Flow id, Packet size (bytes), Data from conn (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)
conn_from_pod1_host3_to_pod1_host7_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0183317, 0.0181369, 6.30984e+08

conn_from_pod1_host3_to_pod1_host8_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.018558, 0.0183608, 6.2329e+08

conn_from_pod1_host3_to_pod1_host9_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0186867, 0.0184881, 6.18998e+08

conn_from_pod1_host3_to_pod2_host1_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.018605, 0.0184072, 6.21717e+08

conn_from_pod1_host3_to_pod2_host2_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0185919, 0.0183943, 6.22153e+08

conn_from_pod1_host3_to_pod2_host3_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0185986, 0.018401, 6.21929e+08

conn_from_pod1_host3_to_pod2_host4_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0186009, 0.0184033, 6.21851e+08

conn_from_pod1_host3_to_pod2_host5_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0183777, 0.0181824, 6.29406e+08

conn_from_pod1_host3_to_pod2_host6_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0186874, 0.0184888, 6.18976e+08

conn_from_pod1_host3_to_pod2_host7_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.018345, 0.01815, 6.30527e+08

conn_from_pod1_host3_to_pod2_host8_flow_1, 1500, 1536000, 1551000, 1536000, 0.976562, 15000, 10, 0.0185893, 0.0184095, 6.21639e+08

conn_from_pod1_host3_to_pod2_host9_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0185566, 0.0183594, 6.23338e+08

conn_from_pod1_host3_to_pod3_host1_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0182965, 0.0181021, 6.32198e+08

conn_from_pod1_host3_to_pod3_host2_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0185417, 0.0183446, 6.23839e+08

conn_from_pod1_host3_to_pod3_host3_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0185745, 0.0183771, 6.22736e+08

conn_from_pod1_host3_to_pod3_host4_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0186395, 0.0184414, 6.20565e+08

conn_from_pod1_host3_to_pod3_host5_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0186419, 0.0184437, 6.20486e+08

conn_from_pod1_host3_to_pod3_host6_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0185709, 0.0183735, 6.22858e+08

conn_from_pod1_host3_to_pod3_host7_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0186769, 0.0184784, 6.19323e+08

conn_from_pod1_host3_to_pod3_host8_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0186076, 0.0184099, 6.21628e+08

conn_from_pod1_host3_to_pod3_host9_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0185574, 0.0183602, 6.23309e+08

conn_from_pod1_host3_to_pod4_host1_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0185902, 0.0183927, 6.22209e+08

conn_from_pod1_host3_to_pod4_host2_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0186955, 0.0184968, 6.18707e+08

conn_from_pod1_host3_to_pod4_host3_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.018608, 0.0184102, 6.21616e+08

conn_from_pod1_host3_to_pod4_host4_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0185929, 0.0183953, 6.2212e+08

conn_from_pod1_host3_to_pod4_host5_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0182098, 0.0180163, 6.35209e+08

conn_from_pod1_host3_to_pod4_host6_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0185358, 0.0183388, 6.24037e+08

conn_from_pod1_host3_to_pod4_host7_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0186948, 0.0184961, 6.1873e+08

conn_from_pod1_host3_to_pod4_host8_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0186978, 0.0184991, 6.18629e+08

conn_from_pod1_host3_to_pod4_host9_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0183252, 0.0181304, 6.3121e+08

conn_from_pod1_host3_to_pod5_host1_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0186857, 0.0184871, 6.19032e+08

conn_from_pod1_host3_to_pod5_host2_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0186948, 0.0184961, 6.18729e+08

